experiment,problem,pbs_pbo,problem_kind,rank,solver,status,value,wall_time_sec,note
60s,maxcut_5partite_n27,PBO,maxcut,3,RoundingSat,SATISFIABLE / TIMEOUT,-180,60.003,incumbent
60s,maxcut_5partite_n27,PBO,maxcut,4,NaPS,SATISFIABLE / TIMEOUT,-176,60.002,incumbent
60s,maxcut_5partite_n27,PBO,maxcut,5,MaxSAT/RC2,TIMEOUT,,60.004,no_solution
60s,miplib_lp4l,PBO,miplib_linear_optimization,1,Gurobi,OPTIMUM FOUND,2967,0.104,proved
60s,miplib_lp4l,PBO,miplib_linear_optimization,2,SCIP,OPTIMUM FOUND,2967,0.119,proved
60s,miplib_lp4l,PBO,miplib_linear_optimization,3,RoundingSat,OPTIMUM FOUND,2967,17.965,proved
60s,miplib_lp4l,PBO,miplib_linear_optimization,4,NaPS,SATISFIABLE / TIMEOUT,4499,60.007,incumbent
60s,miplib_lp4l,PBO,miplib_linear_optimization,5,MaxSAT/RC2,TIMEOUT,,60.013,no_solution
60s,vertex_cover_grid_dim072,PBO,vertex_cover,1,MaxSAT/RC2,OPTIMUM FOUND,2664,1.167,proved
60s,vertex_cover_grid_dim072,PBO,vertex_cover,2,RoundingSat,OPTIMUM FOUND,2664,7.068,proved
60s,vertex_cover_grid_dim072,PBO,vertex_cover,3,NaPS,OPTIMUM FOUND,2664,9.503,proved
60s,vertex_cover_grid_dim072,PBO,vertex_cover,4,SCIP,TIMEOUT,2664,60.008,incumbent
60s,vertex_cover_grid_dim072,PBO,vertex_cover,5,Gurobi,TIMEOUT,2664,60.016,incumbent
